Customer ID (Numeric),Activation Date (YYYY-MM),Last Payment Date (YYYY-MM-DD),Cash Advance,Credit Limit,Cash Advance % of Limit
12709,2020-01,2020-05-08,2431.292076,8000.0,30.39115095
12710,2020-01,2020-05-26,0.0,2000.0,0.0
12712,2020-01,2020-10-20,0.0,3000.0,0.0
12713,2020-01,2020-08-22,0.0,9000.0,0.0
12714,2020-01,2020-04-26,78.763096,1500.0,5.250873066666667
12715,2020-01,2020-10-16,0.0,4000.0,0.0
12716,2020-01,2020-05-06,2260.73569,9000.0,25.119285444444444
12717,2020-01,2020-08-13,611.974158,3500.0,17.484975942857144
12718,2020-01,2020-08-28,0.0,9000.0,0.0
12719,2020-01,2020-07-15,4200.991254,9000.0,46.677680599999995
12720,2020-01,2020-05-06,2144.180453,7500.0,28.58907270666667
12721,2020-01,2020-08-27,0.0,1500.0,0.0
12722,2020-01,2020-10-27,6171.934509,12000.0,51.43278757499999
12723,2020-01,2020-08-09,0.0,7500.0,0.0
12724,2020-01,2020-05-16,0.0,1000.0,0.0
12725,2020-01,2020-05-24,689.185829,2300.0,29.964601260869568
12726,2020-01,2020-10-09,3325.302419,6500.0,51.15849875384616
12727,2020-01,2020-08-25,437.399211,10500.0,4.165706771428571
12728,2020-01,2020-07-24,456.396077,1950.0,23.404927025641026
12729,2020-01,2020-05-31,1846.252071,6500.0,28.403878015384613
12730,2020-01,2020-08-19,0.0,1200.0,0.0
12731,2020-01,2020-11-03,0.0,1200.0,0.0
12732,2020-01,2020-10-09,0.0,8500.0,0.0
12733,2020-01,2020-05-30,0.0,7000.0,0.0
12734,2020-01,2020-05-09,3860.699586,8500.0,45.41999512941177
12735,2020-01,2020-10-29,0.0,3000.0,0.0
12736,2020-01,2020-09-21,0.0,6000.0,0.0
12737,2020-01,2020-09-03,2909.753084,14000.0,20.7839506
12738,2020-01,2020-05-24,2119.702403,1200.0,176.64186691666666
12739,2020-01,2020-09-14,0.0,7500.0,0.0
12740,2020-01,2020-05-27,0.0,1000.0,0.0
12741,2020-01,2020-08-01,315.120089,3000.0,10.504002966666667
12742,2020-01,2020-08-11,0.0,3500.0,0.0
12743,2020-01,2020-05-09,0.0,2500.0,0.0
12744,2020-01,2020-08-12,1321.906162,3000.0,44.06353873333334
12745,2020-01,2020-07-29,0.0,7227.272727,0.0
12746,2020-01,2020-06-04,3603.787202,13550.0,26.596215512915126
12747,2020-01,2020-07-14,1906.43522,8000.0,23.830440250000002
12748,2020-01,2020-05-09,0.0,9200.0,0.0
12749,2020-01,2020-11-07,0.0,14500.0,0.0
12750,2020-01,2020-07-03,2404.829712,9000.0,26.720330133333338
12751,2020-01,2020-08-31,737.622804,6100.0,12.092177114754097
12752,2020-01,2020-07-01,0.0,13500.0,0.0
12753,2020-01,2020-07-22,2676.476175,3000.0,89.21587249999999
12754,2020-01,2020-11-07,4212.521736,7000.0,60.178881942857146
12755,2020-01,2020-08-07,7894.578816,9000.0,87.7175424
12756,2020-01,2020-09-03,0.0,2000.0,0.0
12757,2020-01,2020-11-05,6394.923585,7000.0,91.3560512142857
12758,2020-01,2020-10-11,8223.638112,7000.0,117.48054445714287
12759,2020-01,2020-05-03,9798.167329,10000.0,97.98167329
12760,2020-01,2020-10-11,0.0,2500.0,0.0
12761,2020-01,2020-07-25,2480.749691,4500.0,55.12777091111111
12762,2020-01,2020-09-28,5352.991545,5000.0,107.0598309
12763,2020-01,2020-08-13,0.0,6500.0,0.0
12764,2020-01,2020-09-02,0.0,6500.0,0.0
12765,2020-01,2020-08-23,0.0,6000.0,0.0
12766,2020-01,2020-08-28,0.0,1900.0,0.0
12767,2020-01,2020-10-23,4320.771337,4000.0,108.019283425
12768,2020-01,2020-06-13,198.295367,1800.0,11.016409277777777
12769,2020-01,2020-06-09,2992.621714,6000.0,49.87702856666667
12770,2020-01,2020-10-02,5423.546535,6000.0,90.39244225
12771,2020-01,2020-04-27,59.670168,1600.0,3.7293855000000002
12772,2020-01,2020-09-21,1620.674351,3000.0,54.02247836666666
12773,2020-01,2020-06-21,11834.20581,13500.0,87.66078377777777
12774,2020-01,2020-04-26,1248.153277,9500.0,13.13845554736842
